Frequency (Hz),Sensitivity (a.u. rms/Pa)
333.3333333333333,0.22599867754936864
666.6666666666666,0.04152742114550933
1000.0,0.03675030836235585
1333.3333333333333,0.028346054346605108
1666.6666666666665,0.031268281244390975
2000.0,0.030619990291339178
2333.333333333333,0.0318364143919161
2666.6666666666665,0.01256097044652824
3000.0,0.023214157466056328
3333.333333333333,0.03449705504657327
3666.6666666666665,0.029117579839698593
4000.0,0.02383265350634013
4333.333333333333,0.01990596315838901
4666.666666666666,0.017493399829208743
5000.0,0.022077874938153948
5333.333333333333,0.03012976688427502
5666.666666666666,0.04626015397409167
6000.0,0.03457166636214686
6333.333333333333,0.029601727439641404
6666.666666666666,0.018430970815103098
7000.0,0.011246013692198797
7333.333333333333,0.009280606204008569
7666.666666666666,0.01689987998421339
8000.0,0.05462962945810258
8333.333333333332,0.07494670202984537
8666.666666666666,0.06572177488139122
9000.0,0.04767336442328869
9333.333333333332,0.040937129614285264
9666.666666666666,0.048836230702743594
10000.0,0.07646112604817652
10333.333333333332,0.1497519296325033
10666.666666666666,0.09522703335438741
11000.0,0.14139149806323106
11333.333333333332,0.10962227604355565
11666.666666666666,0.10150756890059479
12000.0,0.15143047617195232
12333.333333333332,0.12414261784812912
12666.666666666666,0.1267760567024202
13000.0,0.07386962101433184
13333.333333333332,0.030540202524210514
13666.666666666666,0.02449973913851278
14000.0,0.00926479313633795
14333.333333333332,0.019163295333216833
14666.666666666666,0.024231380709560726
15000.0,0.02851969168834904
15333.333333333332,0.04615024099768026
15666.666666666666,0.03743772734469756
16000.0,0.03571323229910915
16333.333333333332,0.03612581864104544
16666.666666666664,0.02691603359347509
17000.0,0.022310325983493806
17333.333333333332,0.022578503585525145
17666.666666666664,0.02451984325226781
18000.0,0.026131862011525314
18333.333333333332,0.029272014527953864
18666.666666666664,0.03660872484429247
19000.0,0.04852570676418994
19333.333333333332,0.04748907719663484
19666.666666666664,0.03937260121035598
20000.0,0.0352827506853695
20333.333333333332,0.0340123517395427
20666.666666666664,0.03415010018115355
21000.0,0.03549717950439177
21333.333333333332,0.03736844750300227
21666.666666666664,0.04038452716396979
22000.0,0.04135494498972863
22333.333333333332,0.03700982381948908
22666.666666666664,0.02676425303768093
23000.0,0.016504104628387063
23333.333333333332,0.009450128760206617
23666.666666666664,0.005600845471128191
24000.0,0.0053923808932302
